pixel_id,rbd_vh,burned,burned_area_hectares,rain_masked,cluster_mean_rbd_vh_burned,cluster_mean_rbd_vh_unburned
PX-080,0.33619308276463045,False,0.0,False,5.6207525532984075,1.901463682474826
PX-081,0.34961542693780956,False,0.0,False,5.6207525532984075,1.901463682474826
PX-082,0.5246187901981614,False,0.0,False,5.6207525532984075,1.901463682474826
PX-083,0.5380165063746283,False,0.0,False,5.6207525532984075,1.901463682474826
PX-084,-3.296485023964596,False,0.0,True,5.6207525532984075,1.901463682474826
PX-085,-2.748825836962416,False,0.0,False,5.6207525532984075,1.901463682474826
PX-086,-2.073599282608731,False,0.0,False,5.6207525532984075,1.901463682474826
PX-087,-1.597572551142699,False,0.0,False,5.6207525532984075,1.901463682474826
PX-088,1.0548745157701571,False,0.0,False,5.6207525532984075,1.901463682474826
PX-089,2.0357483418527025,False,0.0,False,5.6207525532984075,1.901463682474826
PX-090,3.365801116095085,False,0.0,False,5.6207525532984075,1.901463682474826
PX-091,3.9880061172872114,False,0.0,False,5.6207525532984075,1.901463682474826
PX-092,4.346515432237366,True,1.0,False,5.6207525532984075,1.901463682474826
PX-093,4.330344562383665,False,0.0,False,5.6207525532984075,1.901463682474826
PX-094,4.4981893521931955,True,1.0,False,5.6207525532984075,1.901463682474826
PX-095,4.793419157550732,True,1.0,False,5.6207525532984075,1.901463682474826
PX-096,5.319590079369135,True,1.0,False,5.6207525532984075,1.901463682474826
PX-097,5.865860432682444,True,1.0,False,5.6207525532984075,1.901463682474826
PX-098,5.844504832094771,True,1.0,False,5.6207525532984075,1.901463682474826
PX-099,5.345375943599519,True,1.0,False,5.6207525532984075,1.901463682474826
PX-100,3.1838934941069166,False,0.0,False,5.6207525532984075,1.901463682474826
PX-101,2.9785131546681214,False,0.0,False,5.6207525532984075,1.901463682474826
PX-102,3.070408625506129,False,0.0,False,5.6207525532984075,1.901463682474826
PX-103,3.1128285427893463,False,0.0,False,5.6207525532984075,1.901463682474826
PX-104,3.124159404635021,False,0.0,False,5.6207525532984075,1.901463682474826
PX-105,3.0961836102824343,False,0.0,False,5.6207525532984075,1.901463682474826
PX-106,3.0248244777054385,False,0.0,False,5.6207525532984075,1.901463682474826
PX-107,2.907353554438453,False,0.0,False,5.6207525532984075,1.901463682474826
PX-108,2.7398875262602793,False,0.0,False,5.6207525532984075,1.901463682474826
PX-109,2.843105468055592,False,0.0,False,5.6207525532984075,1.901463682474826
PX-110,3.0421548449716767,False,0.0,False,5.6207525532984075,1.901463682474826
PX-111,3.006088372851792,False,0.0,False,5.6207525532984075,1.901463682474826
PX-112,-0.020492657717065654,False,0.0,False,5.6207525532984075,1.901463682474826
PX-113,0.298528150385998,False,0.0,False,5.6207525532984075,1.901463682474826
PX-114,0.5038678021414107,False,0.0,False,5.6207525532984075,1.901463682474826
PX-115,1.0834752523249183,False,0.0,False,5.6207525532984075,1.901463682474826
PX-116,1.9494687762784864,False,0.0,False,5.6207525532984075,1.901463682474826
PX-117,2.5339850693276063,False,0.0,False,5.6207525532984075,1.901463682474826
PX-118,3.3728346546280736,False,0.0,False,5.6207525532984075,1.901463682474826
PX-119,3.412024148208058,False,0.0,False,5.6207525532984075,1.901463682474826
PX-120,3.1551310766781206,False,0.0,False,5.6207525532984075,1.901463682474826
PX-121,2.767797639808716,False,0.0,False,5.6207525532984075,1.901463682474826
PX-122,2.5951598794516713,False,0.0,False,5.6207525532984075,1.901463682474826
PX-123,2.666160262102375,False,0.0,False,5.6207525532984075,1.901463682474826
PX-124,2.980231804946172,False,0.0,False,5.6207525532984075,1.901463682474826
PX-125,3.0412313236998525,False,0.0,False,5.6207525532984075,1.901463682474826
PX-126,2.8849732180081205,False,0.0,False,5.6207525532984075,1.901463682474826
PX-127,2.5616199444921435,False,0.0,False,5.6207525532984075,1.901463682474826
PX-128,2.528299946975462,False,0.0,False,5.6207525532984075,1.901463682474826
PX-129,0.595196492756223,False,0.0,False,5.6207525532984075,1.901463682474826
PX-130,0.6187732699870239,False,0.0,False,5.6207525532984075,1.901463682474826
PX-131,0.5720565621616736,False,0.0,False,5.6207525532984075,1.901463682474826
PX-132,0.5240001774806942,False,0.0,False,5.6207525532984075,1.901463682474826
PX-133,0.6534317538239645,False,0.0,False,5.6207525532984075,1.901463682474826
PX-134,0.6541652685121058,False,0.0,False,5.6207525532984075,1.901463682474826
PX-135,0.3658928433304105,False,0.0,False,5.6207525532984075,1.901463682474826
PX-136,0.35838833297325223,False,0.0,False,5.6207525532984075,1.901463682474826
PX-137,0.6408265802377162,False,0.0,False,5.6207525532984075,1.901463682474826
PX-138,0.6537298815705554,False,0.0,False,5.6207525532984075,1.901463682474826
PX-139,2.9033742554292914,False,0.0,False,5.6207525532984075,1.901463682474826
PX-140,3.266663108758891,False,0.0,False,5.6207525532984075,1.901463682474826
PX-141,3.6571291793804868,False,0.0,False,5.6207525532984075,1.901463682474826
